dpt,slug,name,clean_name,real_name,postal_code,insee_code,long_deg,lat_deg
4,mallefougasse-auges,MALLEFOUGASSE-AUGES,mallefougasse auges,Mallefougasse-Augès,4230,4109,5.89778,44.0662
4,saint-lions,SAINT-LIONS,saint lions,Saint-Lions,4330,4187,6.4,43.9833
4,angles-04,ANGLES,angles,Angles,4170,4007,6.56667,43.9333
4,nibles,NIBLES,nibles,Nibles,4250,4137,6.01667,44.2833
4,revest-saint-martin,REVEST-SAINT-MARTIN,revest saint martin,Revest-Saint-Martin,4230,4164,5.81667,44.0333
4,reillanne,REILLANNE,reillanne,Reillanne,4110,4160,5.66667,43.8833
4,allons-04,ALLONS,allons,Allons,4170,4005,6.6,43.9667
4,castellane,CASTELLANE,castellane,Castellane,4120,4039,6.51667,43.85
4,ganagobie,GANAGOBIE,ganagobie,Ganagobie,4310,4091,5.91667,44
4,volonne,VOLONNE,volonne,Volonne,4290,4244,6.01667,44.1167
4,montlaux,MONTLAUX,montlaux,Montlaux,4230,4130,5.84445,44.047
4,oraison,ORAISON,oraison,Oraison,4700,4143,5.91667,43.9167
4,saint-andre-les-alpes,SAINT-ANDRE-LES-ALPES,saint andre les alpes,Saint-André-les-Alpes,4170,4173,6.5,43.9667
4,vergons,VERGONS,vergons,Vergons,4170,4236,6.58333,43.9167
4,sigonce,SIGONCE,sigonce,Sigonce,4300,4206,5.83333,44
4,chaudon-norante,CHAUDON-NORANTE,chaudon norante,Chaudon-Norante,4330,4055,6.35,43.9833
4,barles,BARLES,barles,Barles,4140,4020,6.26667,44.2667
4,gigors,GIGORS,gigors,Gigors,4250,4093,6.15,44.4167
4,pontis,PONTIS,pontis,Pontis,5160,4154,6.36667,44.5
4,limans,LIMANS,limans,Limans,4300,4104,5.73333,43.9833
4,meolans-revel,MEOLANS-REVEL,meolans revel,Méolans-Revel,4340,4161,6.51167,44.4014
4,lardiers,LARDIERS,lardiers,Lardiers,4230,4101,5.71667,44.05
4,authon-04,AUTHON,authon,Authon,4200,4016,6.13333,44.2333
4,prads-haute-bleone,PRADS-HAUTE-BLEONE,prads haute bleone,Prads-Haute-Bléone,4420,4155,6.44334,44.22
4,mezel-04,MEZEL,mezel,Mézel,4270,4121,6.2,43.9833
4,uvernet-fours,UVERNET-FOURS,uvernet fours,Uvernet-Fours,4400,4226,6.62612,44.3612
4,barcelonnette,BARCELONNETTE,barcelonnette,Barcelonnette,4400,4019,6.65,44.3833
4,faucon-de-barcelonnette,FAUCON-DE-BARCELONNETTE,faucon de barcelonnette,Faucon-de-Barcelonnette,4400,4086,6.68333,44.4
4,valensole,VALENSOLE,valensole,Valensole,4210,4230,5.98333,43.8333
4,salignac-04,SALIGNAC,salignac,Salignac,4290,4200,5.98333,44.1667
4,corbieres-04,CORBIERES,corbieres,Corbières,4220,4063,5.75,43.7667
